date,slot,L_raw,L_cor,L_act,PV_raw,PV_cor,PV_act,bL,bPV,n_valid_L,lvl_L,n_valid_PV,n_fb
2025-05-08,91,6195.65,6230.67693854167,6144.39,6121.8,6486.65493511905,5415.5625,35.0269385416666,364.854935119048,20,1,28,0
2025-05-08,92,6148.58205,6183.60898854167,6285.2523,5966.599175,6331.45411011905,5380.1871,35.0269385416666,364.854935119048,20,1,28,0
2025-05-08,93,6132.6612,6167.68813854167,6301.9698,5738.691325,6103.54626011905,5178.2711,35.0269385416666,364.854935119048,20,1,28,0
2025-05-08,94,6152.345,6187.37193854167,6171.7,5394.590625,5759.44556011905,4923.825,35.0269385416666,364.854935119048,20,1,28,0
2025-05-08,95,6147.627575,6182.65451354167,6275.6565,5093.57665,5458.43158511905,4807.4292,35.0269385416666,364.854935119048,20,1,28,0
2025-05-08,96,6172.1747,6207.20163854167,6423.4412,4650.527425,5015.38236011905,4740.4369,35.0269385416666,364.854935119048,20,1,28,0
2025-05-08,97,6209.5425,6251.69458125,6470.27,4115.68125,4467.40417366072,4591.4625,42.1520812500001,351.722923660714,20,1,28,0
2025-05-08,98,6180.6956,6222.84768125,6437.5068,3762.3657,4114.08862366071,4309.0196,42.1520812500001,351.722923660714,20,1,28,0
2025-05-08,99,6151.011875,6193.16395625,6243.4198,3464.56825,3816.29117366071,4037.4984,42.1520812500001,351.722923660714,20,1,28,0
2025-05-08,100,6144.3175,6186.46958125,6017.57,3152.128125,3503.85104866071,3765.225,42.1520812500001,351.722923660714,20,1,28,0
2025-05-08,101,6124.772225,6166.92430625,6037.852,2885.49685,3237.21977366071,3370.3313,42.1520812500001,351.722923660714,20,1,28,0
2025-05-08,102,6131.18175,6173.33383125,6221.354,2612.94185,2964.66477366071,3093.2482,42.1520812500001,351.722923660714,20,1,28,0
2025-05-08,103,6183.5125,6263.69281604167,6453.21,2307.225,2677.28140357143,2907.825,80.1803160416667,370.056403571429,20,1,28,0
2025-05-08,104,6242.3366,6322.51691604167,6591.2207,1990.459375,2360.51577857143,2547.6416,80.1803160416667,370.056403571429,20,1,28,0
2025-05-08,105,6195.46225,6275.64256604167,6190.199,1666.172475,2036.22887857143,2211.0118,80.1803160416667,370.056403571429,20,1,28,0
2025-05-08,106,6171.1225,6251.30281604167,5862.62,1359.290625,1729.34702857143,1947.5625,80.1803160416667,370.056403571429,20,1,28,0
2025-05-08,107,6281.176525,6361.35684104167,6574.6547,1103.441875,1473.49827857143,1599.7355,80.1803160416667,370.056403571429,20,1,28,0
2025-05-08,108,5607.86855,5688.04886604167,6291.5145,861.76675,1231.82315357143,1252.3791,80.1803160416667,370.056403571429,20,1,28,0
2025-05-08,109,4535.15,4657.28747708333,4958.71,608.446875,747.234304017857,959.8875,122.137477083333,138.787429017857,20,1,28,0
2025-05-08,110,4450.4449,4572.58237708333,4580.7689,355.719425,494.506854017857,689.3567,122.137477083333,138.787429017857,20,1,28,0
2025-05-08,111,4548.6014,4670.73887708333,4473.2339,151.356175,290.143604017857,435.2139,122.137477083333,138.787429017857,20,1,28,0
2025-05-08,112,4399.3675,4521.50497708333,4317.39,32.00625,170.793679017857,210.75,122.137477083333,138.787429017857,20,1,28,0
2025-05-08,113,4382.946125,4505.08360208333,4594.1449,4.740725,143.528154017857,45.3381,122.137477083333,138.787429017857,20,1,28,0
2025-05-08,114,4372.110975,4494.24845208333,4742.1599,1.94385,140.731279017857,0,122.137477083333,138.787429017857,20,1,28,0
2025-05-08,115,4365.9625,4454.05864520833,4650.99,0,0.0796311011904762,0,88.0961452083333,0.0796311011904762,20,1,28,0
2025-05-08,116,4511.749275,4599.84542020833,4754.7265,0.265675,0.345306101190476,2.6947,88.0961452083333,0.0796311011904762,20,1,28,0
2025-05-08,117,4513.680475,4601.77662020833,4789.8367,0.139575,0.219206101190476,0,88.0961452083333,0.0796311011904762,20,1,28,0
2025-05-08,118,4381.655,4469.75114520833,4697.25,0,0.0796311011904762,0,88.0961452083333,0.0796311011904762,20,1,28,0
2025-05-08,119,4426.9739,4515.07004520833,4709.3731,0.019075,0.0987061011904762,0.1935,88.0961452083333,0.0796311011904762,20,1,28,0
