date,em_kwh,cost_total_yuan
2025-10-09,1432.90673333333,46583.881872077
2025-10-10,1532.42135,21751.2985379459
2025-10-11,1690.86626666667,22371.0260859629
2025-10-12,1570.97898333333,47250.9966569662
2025-10-13,1541.43155,47213.0858688917
2025-10-14,2324.44831666667,50852.8912646247
2025-10-15,2051.2559,49066.844816701
2025-10-16,3655.84728333333,56404.1377258508
2025-10-17,2060.3969,23891.8519058929
2025-10-18,2293.7783,24789.4951588389
2025-10-19,3915.16333333333,57509.6972307065
2025-10-20,3542.1483,56708.48161261
2025-10-21,3764.78093333333,57379.6868959465
2025-10-22,4502.55013333333,61035.332152228
2025-10-23,3755.8641,57130.7314382596
2025-10-24,3205.23555,29374.3568860117
2025-10-25,2937.60635,27911.3287462586
2025-10-26,3458.81675,55499.8369938515
2025-10-27,4853.47335,61709.4436509077
2025-10-28,4728.74061666667,61407.3908847068
2025-10-29,6124.26076666667,68336.6596339048
2025-10-30,4953.50665,62145.6132230724
2025-10-31,3962.07733333333,32361.0180254799
2025-11-01,3777.85515,31391.1057722151
2025-11-02,5983.9724,67707.2151075523
2025-11-03,5678.90988333333,65586.9758371285
2025-11-04,5649.37491666667,65653.7022726935
2025-11-05,6607.77766666667,69955.3676494474
2025-11-06,7279.6774,74115.2447519617
2025-11-07,4467.54818333333,35210.1576690196
2025-11-08,4084.07135,32914.3454340636
2025-11-09,7611.78366666667,74876.9228333652
2025-11-10,8554.83773333333,79762.1134256979
2025-11-11,7944.76033333333,76406.4940325234
2025-11-12,8248.8922,78057.8341415235
2025-11-13,7766.13838333333,75719.4349020089
2025-11-14,5099.59583333333,37351.8167031169
2025-11-15,5164.02166666667,38047.3854635391
2025-11-16,9712.78145,84492.0399252435
2025-11-17,9054.51458333333,81402.1988813999
2025-11-18,9370.58426666667,82596.4497224396
2025-11-19,10412.58755,88163.2870390681
2025-11-20,9647.72081666666,84349.4100045954
2025-11-21,5564.80713333333,39705.8223219771
2025-11-22,5688.11305,40601.4001830998
2025-11-23,10771.86605,89449.4050899993
2025-11-24,9694.33911666667,84364.0558428807
2025-11-25,11186.8143166667,91109.6277296215
2025-11-26,11179.11845,91007.2232318783
2025-11-27,11024.3758666667,89821.496619998
2025-11-28,6193.67423333333,42766.7567143707
2025-11-29,6581.89641666666,43996.2618027954
2025-11-30,13912.0754333333,102282.700973137
2025-12-01,14407.8583166667,109661.047280989
2025-12-02,16480.3804833333,117106.682692823
2025-12-03,15863.6713833333,113222.842498221
2025-12-04,14761.1544833333,110730.258006164
2025-12-05,8136.26633333333,53611.5361718109
2025-12-06,8390.34308333333,54938.6865165224
2025-12-07,15839.5883666667,114019.151819004
2025-12-08,16717.7075666667,116743.748569548
2025-12-09,15809.2750666667,115265.412124607
2025-12-10,17245.8355666667,118292.602790903
2025-12-11,15381.3853,111265.99124779
2025-12-12,8302.33271666667,54190.3547810606
2025-12-13,8229.72128333333,54081.5858373957
2025-12-14,17394.8637666667,119428.588720418
2025-12-15,18308.0014333333,122461.61275136
2025-12-16,18088.52895,121808.026954672
2025-12-17,16865.4898166667,117056.881059662
2025-12-18,16436.6175333333,117484.533660498
2025-12-19,8608.84415,55585.9878958417
2025-12-20,8736.40126666667,56629.8669948996
2025-12-21,18059.6959,120948.038804755
2025-12-22,17291.5686,119836.44159327
2025-12-23,16617.2763333333,116125.141165923
2025-12-24,17070.1542666667,119668.43702094
2025-12-25,17138.9267166667,117680.731915058
2025-12-26,8861.71818333333,56437.1476459922
2025-12-27,8405.87085,54515.0919715295
2025-12-28,16311.6755,114710.567513039
2025-12-29,16661.2436,115380.83465106
2025-12-30,15808.3142333333,113233.551628662
2025-12-31,17789.9890333333,120992.134835332
