date,Z_milp,Z_lp,gap
2025-11-18,49423.3024432062,49423.2842749172,0.0181682889888179
2025-11-19,50065.7114725738,50065.7114725737,2.91038304567337e-11
2025-11-20,49753.6999846883,49749.2194816197,4.48050306858204
2025-11-21,18371.4426879917,18371.4426879917,-3.63797880709171e-12
2025-11-22,18611.4359581272,18611.4359581272,0
2025-11-23,50027.8829025394,50027.8829025394,0
2025-11-24,49191.8658063932,49191.8658063932,0
2025-11-25,50515.1049459249,50515.1049459249,7.27595761418343e-12
2025-11-26,50995.7404084362,50995.7404084362,7.27595761418343e-12
2025-11-27,50556.1296454658,50556.1296454658,0
2025-11-28,18833.2196180446,18833.2196180446,-3.63797880709171e-12
2025-11-29,19882.8351524131,19882.8351524132,-3.63797880709171e-12
2025-11-30,53543.4561203857,53543.4561203857,0
2025-12-01,57973.4924904483,57973.4924904484,-2.91038304567337e-11
2025-12-02,59766.5499734917,59766.5499734917,7.27595761418343e-12
2025-12-03,58236.92058608,58236.92058608,7.27595761418343e-12
2025-12-04,58499.558495652,58499.558495652,-1.45519152283669e-11
2025-12-05,23458.5225023863,23458.5225023863,-7.27595761418343e-12
2025-12-06,24640.7287966033,24640.7287966033,-7.27595761418343e-12
2025-12-07,58909.420391135,58909.420391135,-1.45519152283669e-11
2025-12-08,58957.71134572,58956.5566371098,1.15470861023641
2025-12-09,59081.825449005,59080.5752392685,1.25020973646315
2025-12-10,59160.13256234,59159.78276778,0.349794560024748
2025-12-11,57733.9560767693,57733.9560767692,1.45519152283669e-11
2025-12-12,24630.5626567283,24630.5626567283,3.63797880709171e-12
2025-12-13,24639.4151420178,24639.4151420178,0
2025-12-14,59733.597345305,59733.3021275167,0.295217788327136
2025-12-15,60099.7790962283,60099.7790962283,-1.45519152283669e-11
2025-12-16,60122.100653125,60122.100653125,2.18278728425503e-11
2025-12-17,59118.8196028833,59118.8196028833,1.45519152283669e-11
2025-12-18,59006.8627127317,59006.8627127317,1.45519152283669e-11
2025-12-19,24461.3452787246,24461.3452787246,-7.27595761418343e-12
2025-12-20,24294.219565427,24294.219565427,-7.27595761418343e-12
2025-12-21,59797.992382615,59797.992382615,7.27595761418343e-12
2025-12-22,59871.4163414883,59870.8634413985,0.552900089860486
2025-12-23,58529.68958647,58529.5327938886,0.156792581372429
2025-12-24,59295.7513042717,59295.0658094325,0.685494839177409
2025-12-25,59062.4970059033,59062.4970059033,0
2025-12-26,24377.5030429331,24377.5030429332,-7.27595761418343e-12
2025-12-27,24477.5748254083,24477.5748254083,-3.63797880709171e-12
2025-12-28,58226.2350854822,58226.2350854822,0
2025-12-29,58508.56691863,58508.56691863,1.45519152283669e-11
2025-12-30,57881.894346185,57880.892797638,1.00154854703578
2025-12-31,59646.656436885,59646.656436885,-7.27595761418343e-12
